ID,REGIÓN,PROVINCIA,DISTRITO,Codigo del Recurso,Nombre del Recurso,CATEGORIA,Tipo de Categoria,Sub tipo Categoria,URL,LATITUD,LONGITUD
1465,San Martin,Bellavista,BELLAVISTA,"4,087",Petroglifos De Mishquiyacu,2. MANIFESTACIONES CULTURALES,Sitios Arqueológicos,Petroglifos (Grabados en piedra),http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4087,-76.584701,-7.066857
1466,Arequipa,La Union,PUYCA,"4,089",Ciudadela Arqueologica  De Maukallakta - Puyca,2. MANIFESTACIONES CULTURALES,Sitios Arqueológicos,Templos,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4089,-72.69323408603668,-15.055138047834361
1467,Junín,Chanchamayo,CHANCHAMAYO,"4,092",Puente Raither,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Puentes,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4092,-75.29418800000002,-10.960384
1468,Junín,Chanchamayo,CHANCHAMAYO,"4,093",Plaza Principal De La Ciudad De La Merced,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Plazas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4093,-75.32826282209015,-11.056008881159344
1469,Junín,Chanchamayo,CHANCHAMAYO,"4,094",Mirador Cruz De Chanchamayo,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Miradores,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4094,-75.33173881349182,-11.053289427165568
1470,Junín,Chanchamayo,SAN RAMÓN,"4,095",Orquideario Las Delicias,"4. REALIZACIONES TÉCNICAS, CIENTÍFICAS Y ARTÍSTICAS CONTEMPORÁNEAS",Centros Científicos y Técnicos,Jardines Botánicos y Viveros,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4095,-75.34533530473709,-11.118985787416527
1471,Junín,Chanchamayo,SAN RAMÓN,"4,096",Casa Hacienda El Naranjal,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Casa-Hacienda,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4096,-75.40141224861145,-11.139729375544087
1472,Junín,Chanchamayo,PICHANAQUI,"4,101",Laguna La Encantada,1. SITIOS NATURALES,g. Cuerpo de Agua,Lagunas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4101,-74.82707900000002,-10.956413
1473,Puno,Azangaro,ASILLO,"4,106",Laguna Huankuyo,1. SITIOS NATURALES,g. Cuerpo de Agua,Lagunas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4106,-70.3308997141113,-14.783217432236981
1474,Puno,Azangaro,AZÁNGARO,"4,107",Laguna De Quequerana,1. SITIOS NATURALES,g. Cuerpo de Agua,Lagunas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4107,-70.27705192565918,-14.946526344434012
1475,Puno,Azangaro,ASILLO,"4,108",Machu Asillo,2. MANIFESTACIONES CULTURALES,Sitios Arqueológicos,Templos,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4108,-70.35793211621092,-14.77697307032186
1476,Puno,Carabaya,CORANI,"4,110",Arte Rupestre De Corani,2. MANIFESTACIONES CULTURALES,Sitios Arqueológicos,Pintura Rupestre,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4110,-70.68173716461183,-13.887258474420772
1477,Puno,Lampa,PUCARA,"4,113",Museo Lítico De Pucará,2. MANIFESTACIONES CULTURALES,Museos y otros,Museos,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4113,-70.36860066137695,-15.042686291102804
